Time,Presented by,Topic and duration (Talk + Q&A time) ,Resources
08:45,Registration &Morning Coffee – 30min,Get your badge then grab some biscuits and coffee,
09:15,"Hildur Smaradottir, Varnish Software  ",Introduction & Agenda for the Day (5 min)    ,
09:20,"Michael Oertel, CTO, AS Ideas & Harald Brückner, Bild.de","""Welcome Varnishers to Axel Springer!"" (10 min)",
9:30,"Poul-Henning Kamp, Varnish Chief Architect ","Keynote:  V4: what we did, why we did it",( `PDF <https://www.varnish-cache.org/sites/default/files/01-VUG8-Keynote-phk-Varnish4-what-why_0.pdf>`__ ) ( `Video <http://www.youtube.com/watch?v=kpJaZFzBFf0#t=0>`__ ) (60 min)
10:30,"Geoff Simmons, Uplex.de ","""Yet Another Log Reader, and Yet Another..."" ",( `PDF <https://www.varnish-cache.org/sites/default/files/02-VUG8-vug8_yalt_0.pdf>`_ ) ( `Video <https://www.youtube.com/watch?v=kpJaZFzBFf0#t=2421>`_ ) (25 min)
10:55,"Marco Hutzsch, Otto.de","""Switching Lights On: A Backend Health Check Tool""",( `PDF <https://www.varnish-cache.org/sites/default/files/03-VUG8-varnish_status_0.pdf>`__ ) ( `Video <https://www.youtube.com/watch?v=kpJaZFzBFf0#t=4122>`__ ) (20 min)
11:15,Coffee Break - 30 min,Get some coffee and do some mingling,
11:45,"Luke Blaney, Financial Times ","""One VCL to rule all our environments""",( `HTML <http://lucas42.github.io/talk-varnishenvironments/#/>`__ ) ( `Video <https://www.youtube.com/watch?v=kpJaZFzBFf0#t=7957>`__ ) (25 min)
12:10,"Martin Blix Grydeland, Varnish Software","""Logging in Varnish 4""",( `PDF <https://www.varnish-cache.org/sites/default/files/05-VUG8-Logging%20in%20Varnish%204_0.pdf>`__ ) ( `Video <https://www.youtube.com/watch?v=kpJaZFzBFf0#t=9120>`__ )  (20 min)
12:30,Lunch Break - 1 hour,Sponsored by Axel Springer,
13:30,"Rogier Mulhuijzen, Fastly","""Streaming Media and API Acceleration at Fastly""",( `PDF <https://www.varnish-cache.org/sites/default/files/06-VUG8-Streaming%20Media%20and%20API%20Acceleration%20%40%20Fastly_0.pdf>`__ ) ( `Part1 <https://www.youtube.com/watch?v=kpJaZFzBFf0#t=14340>`_ `Part2 <http://www.youtube.com/watch?v=isnJoRY7150#t=0>`__ )   (30 min)
14:00,"Dan Beldiman, Netcentric ","""Enhancing Adobe CQ5 with Varnish""",( `PDF <https://www.varnish-cache.org/sites/default/files/07-VUG8-Enhancing%20AEM%20with%20Varnish.pdf>`__ ) ( `Video <http://www.youtube.com/watch?v=isnJoRY7150#t=634>`__ )   (30 min)
14:30,"Maryam Mehrabian, Varnish Software","""Varnish Plus Tools""",(HTML) ( `Video <http://www.youtube.com/watch?v=isnJoRY7150#t=1387>`__ )   (30min)
15:00,"Kacper Wysocki, Redpill Linpro","“Can Varnish Security Firewall protect your web apps?""",( `HTML <http://u.delta9.pl/k/public/vsf/vug8.html#/>`__ ) ( `Video <http://www.youtube.com/watch?v=isnJoRY7150#t=2176>`__ ) (30min)
15:30,Coffee Break - 15 min,Get some coffee and do some more mingling,
15:45,"Peter van der Spek, Blue Billywig","""Throttling on a multi-layer setup: Escenic, Video, API""",( `PDF <https://www.varnish-cache.org/sites/default/files/10-VUG8-Presentation%20VUG8.pdf>`__ ) ( `Video <http://www.youtube.com/watch?v=isnJoRY7150#t=5513>`__ ) (20 min)
16:05,"Nils Goroll, Uplex.de","""VAuth not a Paywall at Bild.de""",( `PDF <https://www.varnish-cache.org/sites/default/files/11-VUG8-20131125_Vauth_is_not_a_Paywall.pdf>`__ ) ( `Video <http://www.youtube.com/watch?v=isnJoRY7150#t=7653>`__ ) (20 min)
16:25,"Rubén Romero, Varnish Software","""VUG8 Outro & Varnish 4 Release Parties! #v4rp""",( `PDF <https://www.varnish-cache.org/sites/default/files/12-VUG8-Outro-Varnish4-Parties_2013-11-26.pdf>`__ ) ( `Video <http://www.youtube.com/watch?v=isnJoRY7150#t=9163>`__ ) (5min)
16:30,Varnish Mingling - 45 min,"Grab a t-shirt, a cold beer and do some varnish-talking",
17:30,We leave Axel Springer,Thank you so much Axel Springer!,
18:00 ish,Casual Gathering for Dinner&Beer/Wine,`Löwenbräu am Gendarmenmarkt GmbH <http://www.loewenbraeu-berlin.de/contact?L=en>`_,
20:00 ish,After Party,Go for some drinks in the area,
Or …,Go to Sleep,That is always an option,
